Reads_per_sample_fecal,Reads_per_sample_stomach
4920,60892
4383,41631
6599,36284
18548,47065
32387,66251
29254,50531
261627,67161
26770,34018
1916,26366
1,34029
42,95884
26,67
15156,31644
7330,1845
2,29832
9440,56097
17661,18259
14541,19939
1,183
25372,29270
11,73382
2899,45636
21536,30031
